wood
1,40,100,50,60
2,65,165,85,100
3,110,280,140,165
4,185,465,235,280
5,310,780,390,465
6,520,1300,650,780
7,870,2170,1085,1300
8,1450,3625,1810,2175
9,2420,6050,3025,3630
10,4040,10105,5050,6060
11,6750,16870,8435,10125
12,11270,28175,14090,16905
13,18820,47055,23525,28230
14,31430,78580,39290,47150
15,52490,131230,65615,78740
16,87660,219155,109575,131490
17,146395,365985,182995,219590
18,244480,611195,305600,366715
19,408280,1020695,510350,612420
20,681825,1704565,852280,1022740
Clay
1,80,40,80,50
2,135,65,135,85
3,225,110,225,140
4,375,185,375,235
5,620,310,620,390
6,1040,520,1040,650
7,1735,870,1735,1085
8,2900,1450,2900,1810
9,4840,2420,4840,3025
10,8080,4040,8080,5050
11,13500,6750,13500,8435
12,22540,11270,22540,14090
13,37645,18820,37645,23525
14,62865,31430,62865,39290
15,104985,52490,104985,65615
16,175320,87660,175320,109575
17,292790,146395,292790,182995
18,488955,244480,488955,305600
19,816555,408280,816555,510350
20,1363650,681825,1363650,852280
Iron
1,100,80,30,60
2,165,135,50,100
3,280,225,85,165
4,465,375,140,280
5,780,620,235,465
6,1300,1040,390,780
7,2170,1735,650,1300
8,3625,2900,1085,2175
9,6050,4840,1815,3630
10,10105,8080,3030,6060
11,16870,13500,5060,10125
12,28175,22540,8455,16905
13,47055,37645,14115,28230
14,78580,62865,23575,47150
15,131230,104985,39370,78740
16,219155,175320,65745,131490
17,365985,292790,109795,219590
18,611195,488955,183360,366715
19,1020695,816555,306210,612420
20,1704565,1363650,511370,1022740
Crop
1,70,90,70,20
2,115,150,115,35
3,195,250,195,55
4,325,420,325,95
5,545,700,545,155
6,910,1170,910,260
7,1520,1950,1520,435
8,2535,3260,2535,725
9,4235,5445,4235,1210
10,7070,9095,7070,2020
11,11810,15185,11810,3375
12,19725,25360,19725,5635
13,32940,42350,32940,9410
14,55005,70720,55005,15715
15,91860,118105,91860,26245
16,153405,197240,153405,43830
17,256190,329385,256190,73195
18,427835,550075,427835,122240
19,714485,918625,714485,204140
20,1193195,1534105,1193195,340915
